Entity,en_desc,nvn_desc,en,nvn
v:after,,,"after",
v:all,"to be the whole quantity",,"all",
v:bad,"to be bad",,"bad",
v:before,,,"before",
v:cause,"to cause (somethingg)",,"cause",
v:distance,,,"distance",
v:entity,,,"entity",
v:exist,"to exist",,"exist; thing",
v:good,"to be good",,"good",
v:group,"to be together",,"group",
v:here,,,"here",
v:if,"to be under the condition of",,"if",
v:inside,,,"inside",
v:kindOf,"to share caracteristics with",,"kind of; sort of",
v:less,"to be of lower quantity/importance/degree",,"less (than)",
v:little,"to be a small amount",,"a little (of)",
v:many,"to be a numerous amount",,"many; a lot (of)",
v:more,"to be of higher quantity/importance/degree",,"more",
v:most,"to be the major part of the quantity",,"most (of)",
v:negative,,,"negative",
v:novan,"to be Novan",,"Novan",
v:now,,,"now",
v:pack,"to be an amount between 2 and 12 (both included); to be a pack (of)",,"a pack of",
v:pair,"to be a pair (of)",,"pair (of)",
v:partOf,"to be a part of",,"part (of); element",
v:positive,,,"positive",
v:possible,"to be possible",,"possible",
v:repeat,,,"repeat",
v:same,"to be identical to",,"same",
v:side,,,"side",
v:similar,"to resemble but not be identical to",,"similar",
v:size,,,"size",
v:this,,,"observe this",
v:true,"to be true",,"true",
v:unit,"to be a unit (of); to be a single",,"a; unit (of)",
v:very,"to be of high quantity/importance/degree",,"very",
